Id;Score;Date
3194;5;2020-03-22 13:01:38+01
3202;6;2020-03-22 12:48:50+01
3256;No terminado;2020-03-21 22:26:13+01
3189;5.5;2020-03-21 19:34:06+01
3251;6;2020-03-21 18:29:32+01
3255;5;2020-03-21 18:29:31+01
3396;5.5;2020-03-21 11:53:10+01
3235;4.5;2020-03-20 19:57:58+01
3246;5.5;2020-03-20 19:13:29+01
3197;No terminado;2020-03-20 17:57:46+01
3252;3;2020-03-20 17:31:29+01
3217;5;2020-03-20 17:29:50+01
3252;No terminado;2020-03-20 17:29:39+01
3183;No terminado;2020-03-20 17:28:00+01
3236;6.5;2020-03-20 17:27:18+01
3183;No terminado;2020-03-20 17:18:41+01
3245;5;2020-03-20 17:18:32+01
3254;5;2020-03-20 17:15:50+01
3175;8.5;2020-03-20 17:14:39+01
3217;No terminado;2020-03-20 17:12:14+01
3217;No terminado;2020-03-20 17:03:44+01
3247;8;2020-03-20 16:59:04+01
3175;No terminado;2020-03-20 16:58:29+01
3248;5;2020-03-20 16:53:52+01
3175;No terminado;2020-03-20 16:49:26+01
3242;5.5;2020-03-20 16:47:57+01
3250;2.5;2020-03-20 16:45:10+01
3217;No terminado;2020-03-20 16:43:55+01
3201;7.5;2020-03-20 16:43:50+01
3230;5;2020-03-20 16:42:40+01
3175;No terminado;2020-03-20 16:41:14+01
3190;5;2020-03-20 16:38:06+01
3179;8.5;2020-03-20 16:37:45+01
3219;5;2020-03-20 16:37:24+01
3207;5;2020-03-20 16:33:47+01
3207;No terminado;2020-03-20 16:33:13+01
3207;No terminado;2020-03-20 16:33:08+01
3197;8;2020-03-20 16:32:40+01
3242;No terminado;2020-03-20 16:32:17+01
3249;5;2020-03-20 16:31:11+01
3249;No terminado;2020-03-20 16:31:00+01
3249;No terminado;2020-03-20 16:30:54+01
3255;5;2020-03-20 16:29:32+01
3253;7.5;2020-03-20 16:26:13+01
3233;5;2020-03-20 16:26:05+01
3253;No terminado;2020-03-20 16:25:04+01
3216;8;2020-03-20 16:24:42+01
3253;No terminado;2020-03-20 16:24:02+01
3187;7.5;2020-03-20 16:20:38+01
3195;7.5;2020-03-20 16:19:42+01
3199;6;2020-03-20 16:19:19+01
3261;7.5;2020-03-20 16:18:39+01
3243;7;2020-03-20 16:18:37+01
3218;6;2020-03-20 16:18:30+01
3193;5.5;2020-03-20 16:17:06+01
3190;No terminado;2020-03-20 16:16:56+01
3200;8;2020-03-20 16:16:37+01
3221;3;2020-03-20 16:15:53+01
3228;5;2020-03-20 16:15:17+01
3175;No terminado;2020-03-20 16:15:02+01
3189;5.5;2020-03-20 16:13:58+01
3256;5;2020-03-20 16:13:43+01
3194;3.5;2020-03-20 16:13:43+01
3256;No terminado;2020-03-20 16:13:16+01
3246;5.5;2020-03-20 16:12:54+01
3223;5;2020-03-20 16:12:33+01
3281;5;2020-03-20 16:11:54+01
3198;7.5;2020-03-20 16:11:44+01
3231;5.5;2020-03-20 16:11:24+01
3231;No terminado;2020-03-20 16:11:20+01
3238;6.5;2020-03-20 16:11:16+01
3239;7.5;2020-03-20 16:11:05+01
3191;5.5;2020-03-20 16:11:00+01
3280;4;2020-03-20 16:10:55+01
3279;5;2020-03-20 16:10:30+01
3185;6;2020-03-20 16:09:34+01
3253;No terminado;2020-03-20 16:09:23+01
3185;No terminado;2020-03-20 16:08:53+01
3232;7.5;2020-03-20 16:08:20+01
3257;5.5;2020-03-20 16:06:45+01
3175;No terminado;2020-03-20 16:05:11+01
3186;7.5;2020-03-20 16:05:06+01
3197;No terminado;2020-03-20 16:03:58+01
3196;7.5;2020-03-20 16:03:56+01
3239;No terminado;2020-03-20 16:02:16+01
3182;7;2020-03-20 16:02:00+01
3229;8;2020-03-20 16:01:25+01
3184;7.5;2020-03-20 16:01:20+01
3202;5.5;2020-03-20 16:01:16+01
3224;5;2020-03-20 16:01:10+01
3188;7.5;2020-03-20 16:01:01+01
3262;7.5;2020-03-20 16:00:06+01
3226;5;2020-03-20 15:58:56+01
3260;5;2020-03-20 15:58:53+01
3204;8;2020-03-20 15:58:06+01
3225;6.5;2020-03-20 15:57:35+01
3241;6.5;2020-03-20 15:57:22+01
3209;6;2020-03-20 15:57:03+01
3176;7;2020-03-20 15:56:45+01
3215;5;2020-03-20 15:56:11+01
3259;5.5;2020-03-20 15:54:58+01
3210;5.5;2020-03-20 15:54:04+01
3210;No terminado;2020-03-20 15:53:16+01
3210;No terminado;2020-03-20 15:50:46+01
3203;6;2020-03-20 15:49:38+01
3221;No terminado;2020-03-20 15:41:56+01
3212;7.5;2020-03-20 15:40:45+01
3192;7.5;2020-03-20 15:40:23+01
3212;No terminado;2020-03-20 15:39:40+01
3206;5.5;2020-03-20 15:32:48+01
3251;5.5;2020-03-20 15:31:51+01
3396;6;2020-03-20 15:21:52+01
3220;6;2020-03-20 15:21:31+01
3211;6.5;2020-03-20 15:10:43+01
3242;No terminado;2020-03-20 15:08:52+01
3255;No terminado;2020-03-20 14:42:47+01
3252;No terminado;2020-03-20 14:35:37+01
3396;No terminado;2020-03-20 14:24:25+01
3262;0;2020-03-20 14:16:26+01
3252;No terminado;2020-03-20 14:10:36+01
3262;2.5;2020-03-20 13:58:36+01
3219;5;2020-03-20 13:33:25+01
3262;2.5;2020-03-20 13:23:33+01
3252;No terminado;2020-03-20 13:17:19+01
3202;No terminado;2020-03-20 12:22:23+01
3249;No terminado;2020-03-20 12:13:30+01
3249;No terminado;2020-03-20 12:12:15+01
3216;5;2020-03-20 12:12:06+01
3249;No terminado;2020-03-20 12:06:41+01
3188;7.5;2020-03-20 11:53:17+01
3229;7.5;2020-03-20 10:49:43+01
3220;4.5;2020-03-19 22:55:45+01
3262;2.5;2020-03-19 22:52:27+01
3217;No terminado;2020-03-19 22:07:12+01
3182;6;2020-03-19 21:17:47+01
3216;2;2020-03-19 20:56:16+01
3217;2.5;2020-03-19 20:53:30+01
3193;5;2020-03-19 20:26:50+01
3256;5.5;2020-03-19 20:01:49+01
3254;4.5;2020-03-19 19:47:42+01
3196;7.5;2020-03-19 19:38:43+01
3230;5;2020-03-19 19:34:10+01
3233;5;2020-03-19 19:13:29+01
3236;5;2020-03-19 18:56:23+01
3262;3.5;2020-03-19 18:35:16+01
3218;5.5;2020-03-19 18:04:28+01
3201;7.5;2020-03-19 17:56:34+01
3201;No terminado;2020-03-19 17:38:39+01
3191;2.5;2020-03-19 17:24:05+01
3199;5;2020-03-19 17:15:07+01
3200;7.5;2020-03-19 16:40:32+01
3185;6;2020-03-19 16:40:12+01
3185;No terminado;2020-03-19 16:40:07+01
3239;6;2020-03-19 16:39:26+01
3189;5;2020-03-19 13:04:03+01
3196;No terminado;2020-03-19 12:07:34+01
3196;No terminado;2020-03-19 12:07:30+01
3221;4;2020-03-19 11:36:26+01
3211;6;2020-03-19 10:09:23+01
3182;No terminado;2020-03-18 22:15:06+01
3182;No terminado;2020-03-18 22:09:20+01
3182;No terminado;2020-03-18 22:09:16+01
3247;6.5;2020-03-18 20:36:59+01
3221;No terminado;2020-03-18 19:32:31+01
3219;5;2020-03-18 19:25:01+01
3219;No terminado;2020-03-18 19:24:56+01
3215;3.5;2020-03-18 18:43:44+01
3195;6;2020-03-18 18:28:06+01
3195;No terminado;2020-03-18 18:19:08+01
3217;4.5;2020-03-18 18:15:59+01
3189;5;2020-03-18 17:43:21+01
3189;No terminado;2020-03-18 17:42:50+01
3260;4.5;2020-03-18 17:20:55+01
3217;No terminado;2020-03-18 15:47:02+01
3217;No terminado;2020-03-18 15:46:23+01
3241;5.5;2020-03-18 15:31:36+01
3184;7.5;2020-03-18 12:13:53+01
3192;7.5;2020-03-18 12:09:00+01
3212;7;2020-03-18 12:08:57+01
3223;5;2020-03-18 11:10:45+01
3223;No terminado;2020-03-18 10:54:32+01
3195;No terminado;2020-03-18 00:29:03+01
3200;8;2020-03-17 19:49:33+01
3225;5;2020-03-17 19:46:20+01
3204;8;2020-03-17 19:11:58+01
3186;7.5;2020-03-17 19:07:21+01
3198;7.5;2020-03-17 18:54:07+01
3198;No terminado;2020-03-17 18:40:54+01
3253;7.5;2020-03-17 18:25:36+01
3259;5.5;2020-03-17 18:14:02+01
3246;No terminado;2020-03-17 18:12:04+01
3261;5;2020-03-17 18:10:16+01
3243;5;2020-03-17 18:06:23+01
3206;5.5;2020-03-17 18:05:53+01
3249;No terminado;2020-03-17 17:50:40+01
3232;5;2020-03-17 17:39:40+01
3175;8.5;2020-03-17 17:23:09+01
3175;No terminado;2020-03-17 17:16:12+01
3175;No terminado;2020-03-17 16:53:05+01
3279;5;2020-03-17 16:38:07+01
3247;5;2020-03-17 16:10:25+01
3247;No terminado;2020-03-17 16:10:21+01
3175;7.5;2020-03-17 16:07:40+01
3175;No terminado;2020-03-17 15:54:26+01
3193;4.5;2020-03-17 15:20:16+01
3210;5.5;2020-03-17 15:08:14+01
3204;7;2020-03-17 14:11:09+01
3229;7;2020-03-17 13:35:15+01
3179;9;2020-03-17 13:20:25+01
3231;6;2020-03-17 13:13:36+01
3231;No terminado;2020-03-17 13:12:59+01
3238;5;2020-03-17 12:46:45+01
3188;7.5;2020-03-17 12:41:24+01
3196;6.5;2020-03-17 12:38:10+01
3187;6;2020-03-17 11:45:13+01
3245;5;2020-03-17 11:29:23+01
3176;6.5;2020-03-17 10:20:18+01
3212;7.5;2020-03-17 10:12:38+01
3210;No terminado;2020-03-16 22:21:58+01
3206;No terminado;2020-03-16 20:09:11+01
3210;No terminado;2020-03-16 18:47:01+01
3247;5;2020-03-16 18:06:36+01
3184;7;2020-03-16 18:05:05+01
3193;No terminado;2020-03-16 18:00:33+01
3209;5;2020-03-16 17:51:23+01
3193;No terminado;2020-03-16 17:13:50+01
3228;5;2020-03-16 16:57:48+01
3247;1;2020-03-16 14:43:10+01
3200;No terminado;2020-03-16 13:10:05+01
3188;7.5;2020-03-16 12:46:16+01
3200;8;2020-03-16 12:20:18+01
3197;No terminado;2020-03-16 11:58:41+01
3247;4;2020-03-15 23:01:45+01
3210;No terminado;2020-03-15 18:45:18+01
3179;8.5;2020-03-15 18:12:24+01
3209;No terminado;2020-03-15 17:04:53+01
3279;No terminado;2020-03-15 16:32:42+01
3175;7.5;2020-03-15 15:46:39+01
3175;No terminado;2020-03-15 15:46:27+01
3175;No terminado;2020-03-15 15:44:24+01
3175;No terminado;2020-03-15 15:41:19+01
3175;No terminado;2020-03-15 15:37:28+01
3175;No terminado;2020-03-15 15:28:52+01
3175;No terminado;2020-03-15 15:24:34+01
3175;No terminado;2020-03-15 15:11:23+01
3175;No terminado;2020-03-15 15:01:42+01
3175;No terminado;2020-03-15 14:51:43+01
3175;No terminado;2020-03-15 14:49:32+01
3184;7.5;2020-03-15 13:15:38+01
3247;0;2020-03-15 12:20:34+01
3184;7.5;2020-03-14 20:38:08+01
3229;7.5;2020-03-14 15:20:10+01
3184;7.5;2020-03-14 14:22:32+01
3229;6;2020-03-14 14:02:24+01
3196;6;2020-03-13 20:15:21+01
3197;No terminado;2020-03-13 19:17:16+01
3184;7.5;2020-03-13 18:13:23+01
3219;No terminado;2020-03-13 17:41:22+01
3186;6.5;2020-03-13 16:03:33+01
3188;7.5;2020-03-13 11:51:17+01
3219;No terminado;2020-03-13 10:28:05+01
3196;5.5;2020-03-12 18:14:44+01
3196;No terminado;2020-03-12 18:09:59+01
3221;No terminado;2020-03-12 18:08:30+01
3221;No terminado;2020-03-12 17:39:10+01
3221;No terminado;2020-03-12 17:37:47+01
