Id;intentos_tot;intentos_incom;nota_media;nota_media_;n_diez;cluster;0
2865;9;0;7.33;7.33;1;1;2019
2866;12;2;7.7;7.7;2;1;2019
2867;46;28;6.19;6.19;0;0;2019
2868;13;5;7.25;7.25;1;1;2019
2869;26;20;5.17;5.17;0;1;2019
2870;34;19;7.97;7.97;2;0;2019
2871;4;2;2.5;2.5;0;2;2019
2872;10;6;6.38;6.38;0;1;2019
2873;3;1;4.0;4.0;0;2;2019
2900;50;30;6.8;6.8;0;0;2019
2901;10;5;6.5;6.5;0;1;2019
2902;13;9;5.0;5.0;0;1;2019
2990;2;2;0.0;0.0;0;2;2019
2991;12;6;3.67;3.67;0;2;2019
2994;14;7;3.93;5.5;0;1;2019
2995;10;4;7.67;7.67;0;1;2019
2996;7;3;6.12;6.12;0;1;2019
2997;3;2;8.0;8.0;0;1;2019
3008;15;8;7.29;7.29;0;1;2019
3009;21;10;7.09;7.8;0;1;2019
3015;20;16;6.5;6.5;0;1;2019
3021;2;0;6.75;6.75;0;1;2019
3175;57;44;7.69;7.69;0;0;2020
3176;17;9;6.19;6.19;0;1;2020
3179;22;2;6.2;6.2;0;1;2020
3182;14;8;6.33;6.33;0;1;2020
3183;10;7;6.0;6.0;0;1;2020
3184;20;2;6.64;6.64;0;1;2020
3185;12;6;5.83;5.83;0;1;2020
3186;11;1;5.75;6.39;0;1;2020
3187;9;1;5.38;6.14;0;1;2020
3188;17;4;6.27;6.27;0;1;2020
3189;14;8;6.08;6.08;0;1;2020
3190;19;13;5.75;5.75;0;1;2020
3191;9;3;4.75;4.75;0;1;2020
3192;15;10;7.3;7.3;0;1;2020
3193;11;6;4.7;4.7;0;1;2020
3194;5;0;4.4;4.4;0;1;2020
3195;9;5;7.5;7.5;0;1;2020
3196;14;4;6.6;6.6;0;1;2020
3197;14;10;7.62;7.62;0;1;2020
3198;9;5;7.62;7.62;0;1;2020
3199;8;2;6.17;6.17;0;1;2020
3200;24;10;7.21;7.21;0;1;2020
3201;8;3;7.3;7.3;0;1;2020
3202;12;8;6.5;6.5;0;1;2020
3203;4;2;6.75;6.75;0;1;2020
3204;12;2;7.25;7.25;0;1;2020
3206;10;6;6.0;6.0;0;1;2020
3207;11;9;5.0;5.0;0;1;2020
3209;11;5;5.25;5.25;0;1;2020
3210;19;12;4.86;4.86;0;1;2020
3211;9;2;6.07;6.07;0;1;2020
3212;10;2;6.69;6.69;0;1;2020
3214;2;2;0.0;0.0;0;2;2020
3215;7;2;5.4;5.4;0;1;2020
3216;11;7;5.75;5.75;0;1;2020
3217;14;9;3.8;3.8;0;2;2020
3218;11;7;7.12;7.12;0;1;2020
3219;13;5;3.81;3.81;0;2;2020
3220;7;3;6.12;6.12;0;1;2020
3221;13;10;3.83;3.83;0;2;2020
3223;11;4;5.43;5.43;0;1;2020
3224;8;2;5.42;5.42;0;1;2020
3225;7;0;5.93;5.93;0;1;2020
3226;4;1;5.0;5.0;0;1;2020
3228;9;4;5.9;5.9;0;1;2020
3229;14;4;7.1;7.1;0;1;2020
3230;6;0;5.25;5.25;0;1;2020
3231;12;5;6.0;6.0;0;1;2020
3232;6;0;5.67;5.67;0;1;2020
3233;5;0;4.9;4.9;0;1;2020
3234;3;2;1.5;1.5;0;2;2020
3235;5;0;5.4;5.4;0;1;2020
3236;7;0;5.86;5.86;0;1;2020
3238;7;1;5.67;5.67;0;1;2020
3239;10;4;6.0;6.0;0;1;2020
3240;3;1;3.5;3.5;0;2;2020
3241;6;0;6.08;6.08;0;1;2020
3242;7;2;4.9;4.9;0;1;2020
3243;6;0;5.83;5.83;0;1;2020
3245;6;1;4.9;4.9;0;1;2020
3246;8;3;5.6;5.6;0;1;2020
3247;12;3;5.06;5.69;0;1;2020
3248;7;4;4.5;4.5;0;1;2020
3249;12;6;4.42;4.42;0;1;2020
3250;12;6;3.67;3.67;0;2;2020
3251;4;0;5.75;5.75;0;1;2020
3252;11;6;3.8;3.8;0;2;2020
3253;15;8;6.43;6.43;0;1;2020
3254;7;2;4.4;4.4;0;1;2020
3255;7;1;3.92;3.92;0;2;2020
3256;10;4;4.75;4.75;0;1;2020
3257;9;3;5.17;5.17;0;1;2020
3259;7;1;5.5;5.5;0;1;2020
3260;5;0;5.1;5.1;0;1;2020
3261;6;1;6.6;6.6;0;1;2020
3262;17;5;3.38;4.5;0;2;2020
3279;8;4;5.88;5.88;0;1;2020
3280;7;2;4.7;4.7;0;1;2020
3281;1;0;5.0;5.0;0;1;2020
3396;6;2;6.62;6.62;0;1;2020
